<PUT YOU INTENT 1 NAME HERE>,<PUT YOU INTENT 2 NAME HERE>,<PUT YOU INTENT 3 NAME HERE>
this is the sentence 1,this is the sentence 1,this is the sentence 1
this is the sentence 2,this is the sentence 2,this is the sentence 2
this is the sentence 3,this is the sentence 3,this is the sentence 3
this is the sentence 4,this is the sentence 4,this is the sentence 4
this is the sentence 5,this is the sentence 5,this is the sentence 5
this is the sentence 6,this is the sentence 6,this is the sentence 6
this is the sentence 7,this is the sentence 7,this is the sentence 7
this is the sentence 8,this is the sentence 8,this is the sentence 8
this is the sentence 9,this is the sentence 9,this is the sentence 9
,this is the sentence 10,this is the sentence 10
,this is the sentence 11,this is the sentence 11
,this is the sentence 12,this is the sentence 12
,this is the sentence 13,
,this is the sentence 14,
,this is the sentence 15,
,this is the sentence 16,
